# Index of migration data sources. Rendered from scripts/migration/sources.py; do not edit by hand.
# 'metrics' and 'limits' hold pipe-separated lists.
id	name	family	publisher	unit	coverage	years	cadence	access	fmt	api	licence	network	metrics	limits	url	checked
undesa-ims	UN DESA International Migrant Stock	bilateral	UN Department of Economic and Social Affairs, Population Division	origin country x destination country x year x sex	Every country and area with data; 232 destinations, 238 origins	1990, 1995, 2000, 2005, 2010, 2015, 2020, 2024 (Rev. 2024)	Roughly every five years; Rev. 2024 published late 2024	Direct XLSX download, no registration	XLSX, one sheet per table, ~6 MB	No	UN terms of use; free with attribution	Weighted directed: origin -> destination, weight = migrant stock. The canonical global migration network.	migrant stock by origin and destination, both sexes and split | stock as share of destination population | median age of the migrant population | refugees as a share of the international migrant stock	Stock, not flow. A stock difference is not a flow: it nets out return migration, onward migration and deaths. | Definition is country of birth for most countries and country of citizenship for the rest. The two are not the same population. | Reporting granularity varies by destination, and it varies in a way that correlates with wealth. In Rev. 2024 Table 1 the United States reports 58 named origin countries while Denmark reports 202, because the US source is a survey with an 'other' category and Denmark's is a population register. Any centrality computed on the raw matrix will understate large survey-based destinations. | Interpolated and modelled where censuses are missing; the workbook does not flag which cells are estimates. | Country set changes over time (South Sudan, Serbia and Montenegro).	https://www.un.org/development/desa/pd/content/international-migrant-stock	fetched 2026-09-16: Table 1 has 28,030 data rows, of which 9,098 are country-to-country pairs after dropping regional and income-group aggregates; 6,787 of those have a non-zero 2024 stock.
undesa-flows	UN DESA International Migration Flows	bilateral	UN DESA Population Division	origin country x destination country x year, inflows and outflows	45 countries that report flow statistics	1980 to 2020 depending on reporter	Irregular; 2015 revision is the widely used one	XLSX download	XLSX	No	UN terms of use	Weighted directed flows, but only between the reporting subset	inflows by country of citizenship or birth | outflows | net flow | reporting basis per country	Only 45 reporters, heavily European. Africa and most of Asia are absent, so a network built from it is a network of rich-country statistical offices. | Inflow reported by A from B rarely matches outflow reported by B to A. Mirror statistics disagree by factors, not percentages. | Mixed definitions: citizenship, birth, and duration-of-stay thresholds differ across reporters.	https://www.un.org/development/desa/pd/content/international-migration-flows	not fetched
abel-cohen	Abel and Cohen estimated bilateral migration flows	bilateral	Guy Abel and Joel Cohen (Scientific Data, 2019; updates to 2022)	origin x destination x five-year period	~200 countries, full matrix	1990-1995 through 2015-2020	Updated when a new DESA stock revision lands	Open data with the paper; R package migest	CSV; R package	No	CC BY	Weighted directed flow network, complete and symmetric in coverage. This is usually the better network than the raw DESA stocks.	estimated flow under six different demographic accounting methods | net migration implied by each method	Estimates, not observations. The six methods disagree with each other by a lot, and the choice of method changes which countries look central. | Inherits every problem in the DESA stock matrix it is derived from. | Five-year periods only. No annual series, no seasonality. | Cannot see circular or repeat migration by construction.	https://www.nature.com/articles/sdata201882	not fetched
wb-gbmd	World Bank Global Bilateral Migration Database	bilateral	World Bank (Ozden, Parsons, Schiff, Walmsley)	origin x destination x decade x gender	226 countries, complete matrix	1960, 1970, 1980, 1990, 2000	Static; superseded for recent years by the KNOMAD matrix	World Bank data catalog download	CSV / XLSX	No	CC BY 4.0	Weighted directed, complete. The only full matrix reaching back to 1960.	bilateral migrant stock by decade | gender split	Ends at 2000. Useless for anything contemporary. | Built by filling census gaps with a gravity model, so a large share of cells are modelled rather than counted. | Historical country boundaries mapped onto modern ones, which invents continuity across the Soviet and Yugoslav dissolutions.	https://datacatalog.worldbank.org/search/dataset/0044054	not fetched
knomad-matrix	KNOMAD / World Bank Bilateral Migration Matrix	bilateral	KNOMAD, World Bank	origin x destination stock, single year	214 countries, complete matrix	2010, 2013, 2017, 2018, 2021, 2024 editions	Every few years alongside the Migration and Development Brief	XLSX from knomad.org; the direct file URLs move between editions	XLSX, square matrix layout	No	CC BY	Weighted directed, complete. Easier to load than DESA because it is already a square matrix with no aggregate rows.	bilateral migrant stock | paired with the bilateral remittance matrix	Derived from DESA plus modelling to fill the cells DESA leaves blank. The completeness is partly manufactured. | Single year per edition, no time series inside one file. | Publication URLs are unstable; link rot between editions is normal.	https://www.knomad.org/data/migration/emigration	probed 2026-09-16: guessed direct file URLs return 302 redirects; the landing page is the reliable entry point.
oecd-imd	OECD International Migration Database	bilateral	OECD	destination x origin x year, inflows, outflows, stocks, acquisitions	38 OECD members plus a few partners	1980 onward, varies by series	Annual, with the International Migration Outlook	OECD Data Explorer, bulk CSV, SDMX	CSV, SDMX-JSON	Yes, SDMX	OECD terms; free for non-commercial use	Weighted directed, but only into OECD destinations. A star with 38 hubs.	inflows of foreign population by nationality | stock of foreign-born and foreign population | acquisitions of citizenship | asylum applications | inflows of foreign workers by permit type	Destination side is OECD only. Every south-south corridor is invisible, and those are roughly half of world migration. | Permit-based counts measure administrative events, not people. One person can generate several permits in a year. | Series breaks when a country changes its register rules, and the breaks are documented in footnotes rather than in the data.	https://www.oecd.org/en/data/datasets/oecd-international-migration-database.html	not fetched
oecd-dioc	OECD Database on Immigrants in OECD Countries (DIOC)	bilateral	OECD	destination x origin x sex x age x education x labour status	OECD destinations, ~200 origins	2000/01, 2005/06, 2010/11, 2015/16, 2020/21 rounds	Every five years, census-round based	XLSX / CSV download	CSV, XLSX	No	OECD terms	Weighted directed, and the only one that splits the edge by skill. Lets you build a separate high-skilled migration network.	migrant stock by educational attainment | emigration rate of the tertiary educated (brain drain rate) | labour force status | occupation | duration of stay | field of study (DIOC-E extension)	Census rounds, so five-year granularity and a two to four year lag before release. | Education coded from national categories into ISCED, which flattens real differences in what a qualification means. | Small origin-destination-education cells are suppressed or unreliable; the matrix is sparse where it matters most for small countries.	https://www.oecd.org/en/data/datasets/database-on-immigrants-in-oecd-countries.html	not fetched
eurostat-migr	Eurostat migration and citizenship statistics	bilateral	Eurostat	reporting country x country of citizenship or previous residence x year	EU27, EFTA, candidate countries	2008 onward under Regulation 862/2007; some series to 1998	Annual, with monthly asylum series	Eurostat database, bulk download, REST API	TSV, SDMX, JSON	Yes, free and documented	Reuse permitted with attribution	Weighted directed into European destinations. The best-harmonised regional migration network that exists.	immigration and emigration by citizenship, age and sex (migr_imm, migr_emi) | usually resident population by citizenship and birth country | acquisitions of citizenship | residence permits by reason | asylum applications and decisions, monthly | returns of third-country nationals	Europe only. | Emigration is undercounted everywhere. People leave without telling the register, so a corridor A->B measured by A's emigration and by B's immigration will not agree, and B is usually closer to right. | The twelve-month duration rule is applied differently across members despite the regulation. | Confidentiality flags blank out small cells, which removes exactly the small corridors that would make a network interesting.	https://ec.europa.eu/eurostat/web/migration-asylum/migration/database	not fetched
imem	IMEM and QuantMig estimated European flows	bilateral	Raymer, Wisniowski et al.; QuantMig consortium (Horizon 2020)	origin x destination x year, Bayesian posterior	31 European countries	IMEM 2002-2008; QuantMig extends to 2019	Project output, not a maintained series	Project sites and supplementary data	CSV, R objects	No	Varies by release, generally open	Weighted directed with credible intervals on every edge. The only migration network that ships uncertainty per edge.	posterior mean flow | 95% credible interval | undercount and definition adjustment factors per reporter	Europe only, and a fixed country set. | Model output. The intervals are wide enough that many rank orderings of countries are not identified. | Not updated on a schedule; treat as a research dataset, not a series.	https://www.quantmig.eu/data_and_estimates/	not fetched
unhcr-rdf	UNHCR Refugee Data Finder	displacement	UNHCR	country of origin x country of asylum x year x population type	Global, every country of asylum UNHCR reports on	1951 onward for refugees; most series usable from 1990	Twice yearly, mid-year and year-end	Web app, CSV export, and a public JSON API with no key	CSV, JSON	Yes: api.unhcr.org/population/v1/	Free with attribution	Weighted directed: origin -> asylum, weight = refugees or asylum seekers. Sparser and far more skewed than the DESA stock network.	refugees under UNHCR mandate | asylum seekers (pending cases) | returned refugees | internally displaced people | returned IDPs | stateless people | others in need of international protection | host community | resettlement arrivals and departures | RSD decisions and recognition rates | solutions: naturalisation, return, resettlement	UNRWA-registered Palestine refugees sit in a separate series and are excluded from most UNHCR totals. Forgetting this understates the Middle East by several million. | Country of asylum is where people are counted, not where they want to be. Transit countries look like destinations. | IDP figures come from national and cluster sources of very mixed quality; a jump in an IDP series is often a change in who was counted. | Some asylum countries report a single 'various' origin, which collapses real edges into one. | Definitions changed in 2018 when the 'others of concern' category was restructured; long series cross that break.	https://www.unhcr.org/refugee-statistics/	fetched 2026-09-16: the 2024 year slice gives 6,198 origin/asylum rows with a non-zero population, summing to 30.96 million refugees on cross-border rows.
